 Tell me the size of earth.
DEBUG: n_threads changed to 1
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     60
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9874
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5679
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6672
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9635
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6229
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6605
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9612
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5226
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  16389
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24431
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  18013
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17064
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26491
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  20259
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    147
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  16499
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25187
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   8497
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     48
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5778
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9502
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5602
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5695
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9513
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5189
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     59
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6133
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9537
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5043
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     45
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5728
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9554
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6345
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17084
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25294
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21379
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  19570
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26563
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  24231
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    154
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  17239
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25746
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  10299
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6096
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9573
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5785
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5923
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9692
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5313
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     58
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5833
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9508
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5553
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5663
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9543
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5475
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  15714
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24910
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  17829
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  15861
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25556
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  19906
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    147
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  16691
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25641
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   9712
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6136
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9527
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6054
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5990
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9529
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5216
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6112
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9473
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5121
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     45
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6011
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9702
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   4711
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  21180
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  26922
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  29373
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     61
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  24303
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  27107
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  23508
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    152
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  19968
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25759
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   9811
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6015
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9638
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6032
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5855
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9673
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   4784
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6245
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9540
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   4498
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5781
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9590
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5311
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  15721
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24612
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  19815
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     54
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  16063
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25534
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  18090
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    142
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  16401
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25437
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,  10321
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     47
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6509
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9612
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5704
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6257
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9847
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6417
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     57
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6884
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9927
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6096
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     46
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   7287
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9543
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6010
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     52
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  16248
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24981
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  19589
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     74
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  18883
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  28196
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  21069
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    146
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  17404
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25712
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   9218
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6338
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9545
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6114
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5860
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,  10010
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   4922
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     58
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6847
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9781
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6378
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5881
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9550
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6254
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17785
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24932
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  19273
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  16028
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25583
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  18585
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    142
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  16037
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25903
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   8795
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     46
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5888
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9423
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   6086
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6128
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9687
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   8380
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6155
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9504
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5986
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   6401
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9481
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5366
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     48
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  18080
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24860
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  17527
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  17018
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25658
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  18678
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    149
====== BLAS INIT: M:     8, N:  4096, K: 11008, 0-th,  15934
====== CPU  COMP: M:     8, N:  4096, K: 11008, 0-th,  25273
====== BLAS COMP: M:     8, N:  4096, K: 11008, 0-th,   9714
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     50
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5817
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9468
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5672
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     51
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5720
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9503
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5833
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     55
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5772
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9540
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   4983
====== CPU  INIT: M:     8, N:  4096, K:  4096, 0-th,     48
====== BLAS INIT: M:     8, N:  4096, K:  4096, 0-th,   5800
====== CPU  COMP: M:     8, N:  4096, K:  4096, 0-th,   9488
====== BLAS COMP: M:     8, N:  4096, K:  4096, 0-th,   5499
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     49
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  15682
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  24887
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  16761
====== CPU  INIT: M:     8, N: 11008, K:  4096, 0-th,     53
====== BLAS INIT: M:     8, N: 11008, K:  4096, 0-th,  15872
====== CPU  COMP: M:     8, N: 11008, K:  4096, 0-th,  25469
====== BLAS COMP: M:     8, N: 11008, K:  4096, 0-th,  19491
====== CPU  INIT: M:     8, N:  4096, K: 11008, 0-th,    147
