 Tell me the size of earth.
DEBUG: n_threads changed to 1
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     76
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     58
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  24915
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  36132
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  30970
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     80
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25711
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38306
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  30669
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    210
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26910
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38474
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15121
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9300
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14738
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7955
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9247
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14519
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8275
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9379
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14613
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8874
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9198
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14659
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8348
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     59
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25729
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37589
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32626
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  28851
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  41022
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  33404
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    211
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  29675
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  41169
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  16693
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  11225
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15832
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  11183
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     68
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  12037
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15829
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10446
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     69
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10110
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15654
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10400
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     59
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10440
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15808
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9938
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  28020
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  40170
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32861
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  28789
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  39386
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32099
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    200
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  29464
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38776
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15752
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10569
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15458
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9789
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10554
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15245
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10291
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     74
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  11435
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15387
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9357
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  11295
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15211
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10378
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  28854
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37913
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  33016
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     80
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  28335
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  40998
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  33836
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    211
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  29540
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  40612
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  16140
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10858
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15304
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10248
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  11137
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15415
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9889
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     71
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10803
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15593
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10214
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,  10638
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15052
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10273
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     68
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  27452
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37993
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32465
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     81
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26622
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  39163
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32331
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    210
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26380
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38689
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15029
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9694
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15029
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9533
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9688
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14979
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9313
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     71
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9437
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14857
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9215
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     58
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9314
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14974
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8617
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25787
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37267
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31673
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     78
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26349
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38976
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31850
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    209
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26585
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  39522
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15688
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9746
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14972
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7789
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9404
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14908
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9771
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     70
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9632
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14830
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9141
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9437
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14888
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7987
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     59
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25669
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38064
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31414
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26133
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  39035
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32589
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    210
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26530
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38211
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15238
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9458
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14951
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9368
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     68
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9450
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14845
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7825
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     68
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9486
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14840
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8892
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9358
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14753
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9955
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25781
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37279
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  30208
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     74
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  31234
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38560
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  29884
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    211
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26111
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38243
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  14864
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9409
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14984
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8491
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9477
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14812
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7613
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     69
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9378
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14724
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7723
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9415
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14799
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8003
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25411
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37302
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32122
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26324
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38742
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31843
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    209
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26455
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38385
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  14663
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9424
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15082
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9884
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9377
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14944
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10498
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     70
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9501
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15202
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9656
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     58
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9758
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14790
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9906
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25785
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  37378
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31646
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26287
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38738
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  29935
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    216
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26353
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  39251
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15118
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9511
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14910
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9265
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9479
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14809
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7955
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9408
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14623
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8546
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9246
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14682
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8672
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25671
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  36847
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31211
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     79
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26053
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  38544
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31717
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    209
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  26407
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  38529
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15801
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     66
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9580
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15494
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10174
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9381
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14880
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   9516
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     70
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9780
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14792
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8632
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     61
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9242
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14697
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   7751
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     59
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25860
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  36681
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  33000
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     73
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25788
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  39309
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31471
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    195
====== BLAS INIT: M:     8, N:  5120, K: 13824, 0-th,  25866
====== CPU  COMP: M:     8, N:  5120, K: 13824, 0-th,  37840
====== BLAS COMP: M:     8, N:  5120, K: 13824, 0-th,  15235
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     64
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9344
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  15022
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8505
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     65
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9230
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14889
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8463
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     72
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9330
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14610
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,   8768
====== CPU  INIT: M:     8, N:  5120, K:  5120, 0-th,     60
====== BLAS INIT: M:     8, N:  5120, K:  5120, 0-th,   9218
====== CPU  COMP: M:     8, N:  5120, K:  5120, 0-th,  14842
====== BLAS COMP: M:     8, N:  5120, K:  5120, 0-th,  10044
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     63
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  25485
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  36941
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  32013
====== CPU  INIT: M:     8, N: 13824, K:  5120, 0-th,     76
====== BLAS INIT: M:     8, N: 13824, K:  5120, 0-th,  26197
====== CPU  COMP: M:     8, N: 13824, K:  5120, 0-th,  39079
====== BLAS COMP: M:     8, N: 13824, K:  5120, 0-th,  31533
====== CPU  INIT: M:     8, N:  5120, K: 13824, 0-th,    210
